example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka
0,/home/projects/bagon/shared/imagenet512/val/n02091467/ILSVRC2012_val_00049263.JPEG,2305,171.72447204589844,0.00099945068359375,0.08152032570362928,0.9170334844757597,0.21723771999007707,21064,0.6375346326567153
1,/home/projects/bagon/shared/imagenet512/val/n03995372/ILSVRC2012_val_00019301.JPEG,1566,419.41646575927734,0.00098419189453125,0.07387960754319452,0.963891572663845,0.27354316305313636,21126,0.6576106456536558
2,/home/projects/bagon/shared/imagenet512/val/n15075141/ILSVRC2012_val_00019558.JPEG,3582,138.01255798339844,0.0009765625,0.08720442776394847,0.6013328203382463,0.1190366663527857,21167,0.6342502879652219
3,/home/projects/bagon/shared/imagenet512/val/n02090721/ILSVRC2012_val_00020082.JPEG,2873,75.57360076904297,0.0009918212890625,0.06753803912606754,0.6904556039093248,0.24937938424891762,21179,0.6290755261819261
4,/home/projects/bagon/shared/imagenet512/val/n02009912/ILSVRC2012_val_00005474.JPEG,2798,266.560302734375,0.00099945068359375,0.09527275792507234,0.8136684644202961,0.25067945074580944,21191,0.5657527718867389
5,/home/projects/bagon/shared/imagenet512/val/n02085782/ILSVRC2012_val_00001225.JPEG,3798,523.7164993286133,0.00099945068359375,0.11431032485099141,0.9654728639876051,0.22100471117226964,21233,0.6119718373728017
6,/home/projects/bagon/shared/imagenet512/val/n04476259/ILSVRC2012_val_00026249.JPEG,1011,130.2087631225586,0.00099945068359375,0.048489367933881644,0.9415062065104164,0.23998891199455713,21236,0.5090847948704198
7,/home/projects/bagon/shared/imagenet512/val/n01978455/ILSVRC2012_val_00034448.JPEG,1551,230.02667236328125,0.0009918212890625,0.07466368924946234,0.8559093988779046,0.20327546885252873,21243,0.7952797828315553
8,/home/projects/bagon/shared/imagenet512/val/n01930112/ILSVRC2012_val_00043937.JPEG,894,24.88983917236328,0.00099945068359375,0.040412068562085394,0.4008139869315374,0.2995328535436701,21255,0.8617733778949912
9,/home/projects/bagon/shared/imagenet512/val/n01990800/ILSVRC2012_val_00033427.JPEG,2462,289.2256317138672,0.00099945068359375,0.08738125717217032,0.9431800655798042,0.20973191627579388,21282,0.6441547560245432
10,/home/projects/bagon/shared/imagenet512/val/n03792782/ILSVRC2012_val_00043403.JPEG,2193,154.28195190429688,0.0009918212890625,0.08318753402432928,0.7553801167039476,0.17437187261131915,21287,0.6632341280849547
11,/home/projects/bagon/shared/imagenet512/val/n02704792/ILSVRC2012_val_00015346.JPEG,878,19.1640625,0.0009765625,0.03559910553339189,0.4352580487723027,0.1913192210008383,21375,0.7220820991491892
12,/home/projects/bagon/shared/imagenet512/val/n03000684/ILSVRC2012_val_00006043.JPEG,933,115.94681549072266,0.00096893310546875,0.04909812313212706,0.7798350615036925,0.20389998663544423,21535,0.6961879112296084
13,/home/projects/bagon/shared/imagenet512/val/n12985857/ILSVRC2012_val_00043059.JPEG,1240,76.71682357788086,0.000965118408203125,0.05642840232273307,0.8114445105368878,0.3041351533217301,21556,0.7579183074979926
14,/home/projects/bagon/shared/imagenet512/val/n02951585/ILSVRC2012_val_00005444.JPEG,882,124.82745361328125,0.00099945068359375,0.04430790152576968,0.8413046930302949,0.2099278665479139,21734,0.6017153434973151
15,/home/projects/bagon/shared/imagenet512/val/n02102177/ILSVRC2012_val_00013127.JPEG,3770,167.50761032104492,0.000957489013671875,0.0958544520517017,0.8870058450759115,0.329691321604321,21787,0.594407905902441
16,/home/projects/bagon/shared/imagenet512/val/n02102177/ILSVRC2012_val_00048513.JPEG,3241,199.52415466308594,0.00098419189453125,0.10081796934123186,0.7172920870980417,0.3256992246729659,21800,0.5538439999359545
17,/home/projects/bagon/shared/imagenet512/val/n02526121/ILSVRC2012_val_00015752.JPEG,1373,175.1873893737793,0.000972747802734375,0.06602561617052434,0.7923249324589422,0.2123256585286513,21816,0.7063357040583493
18,/home/projects/bagon/shared/imagenet512/val/n02097209/ILSVRC2012_val_00004287.JPEG,2774,347.36548233032227,0.000972747802734375,0.10297390997811204,0.8416381415050949,0.19078781457385569,21850,0.4536304438384565
19,/home/projects/bagon/shared/imagenet512/val/n02437616/ILSVRC2012_val_00010441.JPEG,1199,66.67832946777344,0.00099945068359375,0.05497264577524314,0.4969036175061712,0.08396517867792208,21881,0.6394425309587229
20,/home/projects/bagon/shared/imagenet512/val/n02398521/ILSVRC2012_val_00038714.JPEG,1803,78.03106689453125,0.00099945068359375,0.06369469308309521,0.518751022906272,0.21041969100211622,21884,0.7450735231883051
