example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
0,/home/projects/bagon/shared/imagenet512/val/n03325584/ILSVRC2012_val_00007855.JPEG,928,19.680540084838867,0.0009899139404296875,0.04531031138826341,0.1952348176931028,0.0,21020,0.997563,0.8037732243537903,0.8037732243537903,0
1,/home/projects/bagon/shared/imagenet512/val/n02279972/ILSVRC2012_val_00046412.JPEG,1870,795.4835691452026,0.0009946823120117188,0.10872262448302263,0.9613233116055382,0.0,21026,0.987320,0.35993772745132446,0.03767656907439232,197
2,/home/projects/bagon/shared/imagenet512/val/n01774750/ILSVRC2012_val_00030405.JPEG,1019,274.6708097457886,0.0009937286376953125,0.06154414166408155,0.9048637138988262,0.0,21029,0.991700,0.3290400207042694,0.09414126724004745,77
3,/home/projects/bagon/shared/imagenet512/val/n01614925/ILSVRC2012_val_00008151.JPEG,1735,348.01852226257324,0.0009965896606445312,0.09330163665140434,0.8475593499822717,0.0,21034,0.980186,0.7034778594970703,0.1514424830675125,172
4,/home/projects/bagon/shared/imagenet512/val/n02787622/ILSVRC2012_val_00009566.JPEG,1901,853.9346771240234,0.0009908676147460938,0.10837073891602765,0.963211020709825,0.0,21038,0.985125,0.03579207882285118,0.03579207882285118,0
5,/home/projects/bagon/shared/imagenet512/val/n03814639/ILSVRC2012_val_00002713.JPEG,1624,1115.412543296814,0.000988006591796875,0.10396037893702363,0.9864385913715173,0.0,21046,0.990279,0.44358423352241516,0.01257195882499218,308
6,/home/projects/bagon/shared/imagenet512/val/n02108551/ILSVRC2012_val_00017006.JPEG,2065,749.95778465271,0.0009984970092773438,0.10162445847923977,0.9709288344302749,0.0,21049,0.988979,0.39134150743484497,0.0280691459774971,231
7,/home/projects/bagon/shared/imagenet512/val/n01692333/ILSVRC2012_val_00015190.JPEG,1340,747.9113426208496,0.0009870529174804688,0.08678523482320802,0.9790072764438188,0.0,21059,0.985222,0.1010357216000557,0.0200029369443655,103
8,/home/projects/bagon/shared/imagenet512/val/n03733131/ILSVRC2012_val_00026391.JPEG,1030,18.07778835296631,0.0009946823120117188,0.04734447496042261,0.16162387860615418,0.0,21077,0.995857,0.8373729586601257,0.8373729586601257,0
9,/home/projects/bagon/shared/imagenet512/val/n02002724/ILSVRC2012_val_00018159.JPEG,1638,71.92962074279785,0.0009965896606445312,0.06468632519347846,0.4939794154968272,0.0,21078,0.993482,0.5050162076950073,0.5050162076950073,0
